Species;Order;Life_Expectancy;Body_Mass;RDI;N_Death;Necropsy_Effort;Animal;Vertebrate;Invertebrate;Herptile;Mammal;Group;Occurence;Proportion;Prevalence
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Digestive system;2;0.166666667;0.00129199
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;All Organs;5;NA;0.003229974
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Lymphatic system;3;0.25;0.001937984
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Endocrine system;2;0.166666667;0.00129199
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Skin;0;0;0
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Exocrine system;0;0;0
Antilope_cervicapra;Artiodactyla;3179.198739;31.03672848;333;1548;0.215116279;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Fat tissues;0;0;0
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Lymphatic system;0;0;0
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Nervous system;0;0;0
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Circulatory system;0;0;0
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Bone;0;0;0
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Skin;0;0;0
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Endocrine system;0;0;0
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;All Organs;3;NA;0.0036452
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Diaphragm;0;0;0
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Fat tissues;0;0;0
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Respiratory system;0;0;0
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Exocrine system;0;0;0
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Uro-genital system;0;0;0
Aonyx_cinerea;Carnivora;3855.993832;3.30467994;226;823;0.274605103;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Digestive system;3;1;0.0036452
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Skin;0;0;0
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Respiratory system;2;0.142857143;0.003025719
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Nervous system;0;0;0
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Uro-genital system;5;0.357142857;0.007564297
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;All Organs;9;NA;0.013615734
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Bone;0;0;0
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Digestive system;5;0.357142857;0.007564297
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Exocrine system;0;0;0
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Lymphatic system;2;0.142857143;0.003025719
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Diaphragm;0;0;0
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Endocrine system;0;0;0
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Circulatory system;0;0;0
Axis_axis;Artiodactyla;4492.834549;59.1386303;124;661;0.187594554;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Fat tissues;0;0;0
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Digestive system;2;0.142857143;0.004494382
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Exocrine system;0;0;0
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Uro-genital system;7;0.5;0.015730337
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Fat tissues;0;0;0
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Bone;0;0;0
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Diaphragm;0;0;0
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Endocrine system;2;0.142857143;0.004494382
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Skin;1;0.071428571;0.002247191
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Nervous system;1;0.071428571;0.002247191
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Lymphatic system;0;0;0
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Respiratory system;1;0.071428571;0.002247191
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;All Organs;11;NA;0.024719101
Bison_bison;Artiodactyla;5624.907659;632.0540589;113;445;0.253932584;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Circulatory system;0;0;0
Callimico_goeldii;Primates;3794.703229;0.563427119;96;451;0.21286031;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Fat tissues;0;0;0
Callimico_goeldii;Primates;3794.703229;0.563427119;96;451;0.21286031;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Digestive system;3;0.75;0.006651885
Callimico_goeldii;Primates;3794.703229;0.563427119;96;451;0.21286031;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Circulatory system;0;0;0
Callimico_goeldii;Primates;3794.703229;0.563427119;96;451;0.21286031;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;All Organs;4;NA;0.00886918
Callimico_goeldii;Primates;3794.703229;0.563427119;96;451;0.21286031;Primary or secondary food item;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Diaphragm;0;0;0
